house,median income,median house value,housing median age,total rooms,total bedrooms,population,households,longitude,latitude,ocean proximity
house 440,2.5682,120000,52,477,119,218,106,-122.29,37.85,NEAR BAY
house 9035,2.9541,106700,15,2981,625,1694,540,-117.76,34.71,INLAND
house 1577,4.9018,188500,17,465,83,146,75,-121.99,37.81,<1H OCEAN
house 6160,3.9741,173100,28,2831,552,2330,557,-117.96,34.08,<1H OCEAN
house 4209,3.1691,141300,42,1525,456,1688,432,-118.24,34.1,<1H OCEAN
house 16566,5.1629,222900,20,2039,373,862,330,-121.46,37.73,INLAND
house 6769,5.2292,444500,52,3367,545,1427,535,-118.14,34.11,<1H OCEAN
house 8518,4.2813,210100,45,1928,453,1323,458,-118.32,33.89,<1H OCEAN
house 1165,0.8024,58300,48,827,198,396,161,-121.55,39.51,INLAND
house 6921,2.125,375000,31,40,8,25,7,-118.05,34.02,<1H OCEAN
house 12790,1.4387,61000,37,3009,733,1513,588,-121.44,38.62,INLAND
house 12806,1.2917,66300,43,1111,269,613,290,-121.46,38.61,INLAND
house 699,3.4643,160900,42,1472,310,768,309,-122.11,37.69,NEAR BAY
house 7683,3.1397,166800,33,1474,325,1205,335,-118.1,33.93,<1H OCEAN
house 16695,2.9615,178100,19,2949,662,1425,548,-120.65,35.12,<1H OCEAN
house 3521,5.5714,225900,34,4877,815,2521,781,-118.49,34.27,<1H OCEAN
house 16971,3.9833,342800,35,3675,735,1930,715,-122.3,37.55,NEAR OCEAN
house 12665,3.5323,109800,34,3573,662,1540,620,-121.45,38.49,INLAND
house 19989,3.4231,83300,15,1562,275,961,287,-119.32,36.2,INLAND
house 19093,6.204,201800,19,1687,253,893,257,-122.62,38.24,<1H OCEAN
house 15870,3.4028,233300,52,2064,496,1726,466,-122.41,37.76,NEAR BAY
house 10774,6.632,441100,27,3310,598,1402,563,-117.9,33.65,<1H OCEAN
house 9921,5.3017,202600,15,3193,468,1303,426,-122.33,38.33,NEAR BAY
house 3513,5.5792,218400,35,1898,344,1123,347,-118.47,34.26,<1H OCEAN
house 15245,4.7841,393500,31,2695,491,1059,451,-117.26,33,NEAR OCEAN
house 15165,3.7784,160100,25,1909,334,1043,322,-117.02,32.95,<1H OCEAN
house 18423,5.9359,249500,16,1911,327,1158,332,-121.81,37.26,<1H OCEAN
house 8094,4.9562,165700,45,455,92,394,89,-118.21,33.82,NEAR OCEAN
house 16059,4.0391,332700,52,1792,305,782,287,-122.49,37.76,NEAR BAY
house 11224,4.2759,238000,33,1891,334,932,343,-117.94,33.81,<1H OCEAN
house 13557,1.5208,69500,28,2899,755,2406,655,-117.31,34.1,INLAND
house 921,5.2396,223900,26,4211,741,2352,734,-121.96,37.52,<1H OCEAN
house 6807,2.3462,188500,36,1068,246,949,250,-118.09,34.09,<1H OCEAN
house 4604,8.8062,500001,52,2156,306,861,311,-118.32,34.07,<1H OCEAN
house 19296,3.7991,175000,21,795,163,414,162,-122.78,38.37,<1H OCEAN
house 11124,3.2344,170100,44,1231,258,682,244,-117.92,33.85,<1H OCEAN
house 20316,3.6167,280000,17,224,70,147,71,-119.16,34.12,NEAR OCEAN
house 5421,8.1631,500001,42,1528,244,634,242,-118.43,34.02,<1H OCEAN
house 9061,4.5455,126500,25,1703,342,775,309,-118.14,34.68,INLAND
house 260,2.0562,102000,41,1547,415,1024,341,-122.2,37.77,NEAR BAY
house 12800,1.0424,81400,32,2436,612,1509,618,-121.45,38.61,INLAND
house 11065,4.192,219900,25,2546,545,1543,521,-117.87,33.79,<1H OCEAN
house 9887,1.0096,162500,52,144,54,89,48,-122.29,38.3,NEAR BAY
house 13957,2.712,89000,21,2520,582,416,151,-117.06,34.17,INLAND
house 16306,3.5982,94400,15,2682,599,1520,601,-121.35,38.01,INLAND
house 18852,2.1571,81500,13,2300,513,1151,488,-122.3,41.32,INLAND
house 2186,3.4861,112500,26,1453,251,896,260,-119.98,36.74,INLAND
house 11554,4.7404,207500,29,3443,635,2257,620,-117.98,33.74,<1H OCEAN
house 9845,4.6182,301000,42,2689,510,1023,459,-121.9,36.59,NEAR OCEAN
house 19611,3.7045,128100,6,1772,332,1011,331,-121.14,37.48,INLAND
house 16437,2.0694,175000,31,335,53,154,55,-121.3,38.09,INLAND
house 1559,7.8287,369200,8,11336,1657,4089,1555,-121.94,37.8,<1H OCEAN
house 5090,1.223,100000,30,1162,318,1207,289,-118.29,33.98,<1H OCEAN
house 317,1.5809,70000,36,606,132,531,133,-122.2,37.75,NEAR BAY
house 16937,5.549,500001,49,2016,299,691,288,-122.32,37.56,NEAR OCEAN
house 4315,1.9911,220000,40,2004,687,1514,542,-118.33,34.09,<1H OCEAN
house 847,6.0074,236500,16,3349,544,2003,488,-122.08,37.58,NEAR BAY
house 690,2.679,144900,41,3495,787,1849,750,-122.12,37.7,NEAR BAY
house 5679,6.2028,361500,35,2790,,1167,441,-118.3,33.72,NEAR OCEAN
house 9603,1.5,67000,39,1015,356,875,313,-120.48,37.3,INLAND
house 9002,3.7344,179400,47,1107,199,437,178,-118.34,33.99,<1H OCEAN
house 17195,5.8635,348700,24,2746,433,1076,380,-119.79,34.45,NEAR OCEAN
house 4283,1.7325,221900,36,1655,690,1957,633,-118.32,34.1,<1H OCEAN
house 19911,3.3875,92500,23,3521,615,1712,636,-119.3,36.32,INLAND
house 11461,4.2165,234600,15,3141,664,1729,633,-117.99,33.67,<1H OCEAN
house 11846,2.2656,88200,23,1017,218,387,152,-120.74,39.9,INLAND
house 86,2.4083,98200,52,773,143,377,115,-122.28,37.81,NEAR BAY
house 8698,5.3743,286500,28,2948,566,1445,524,-118.34,33.87,<1H OCEAN
house 8772,3.9408,327700,34,1730,427,1008,393,-118.34,33.8,<1H OCEAN
house 16402,5.0362,181300,27,849,137,373,131,-121.23,37.98,INLAND
house 5729,12.1579,500001,14,2672,335,1113,318,-118.21,34.18,<1H OCEAN
house 12925,5.5,165700,21,2759,409,1053,374,-121.31,38.65,INLAND
house 20442,6.0487,254500,24,4072,582,1834,565,-118.78,34.26,<1H OCEAN
house 2270,1.9386,67500,33,3433,785,1806,783,-119.79,36.79,INLAND
house 2004,1.0513,39600,35,853,296,1228,289,-119.79,36.74,INLAND
house 3270,2.8906,140600,18,681,120,272,105,-122.94,39.1,INLAND
house 18444,5.1663,241200,25,4021,634,2178,650,-121.82,37.25,<1H OCEAN
house 18270,10.0346,500001,28,4612,608,1686,567,-122.07,37.36,<1H OCEAN
house 3606,6.5268,273100,30,1762,263,761,292,-118.48,34.23,<1H OCEAN
house 17778,5.2415,286500,12,12980,2568,8190,2515,-121.85,37.38,<1H OCEAN
house 14978,3.4551,121400,18,2355,444,1277,433,-116.98,32.71,<1H OCEAN
house 15333,2.4375,108900,15,4784,1039,1810,986,-117.32,33.22,NEAR OCEAN
house 14010,6.1309,411600,52,1388,213,513,211,-117.19,32.75,NEAR OCEAN
house 7275,1.75,115400,30,861,250,1062,231,-118.24,33.98,<1H OCEAN
house 15731,2.9792,350000,49,2246,587,1277,546,-122.43,37.78,NEAR BAY
house 1311,3.3625,126100,13,4545,952,2188,901,-121.84,37.99,INLAND
house 2297,2.197,74500,30,3308,662,1894,648,-119.75,36.8,INLAND
house 9161,5.4829,199600,15,8244,1409,4453,1357,-118.49,34.43,<1H OCEAN
house 13881,3.1505,102000,9,5983,1122,3515,1064,-117.34,34.46,INLAND
house 5557,4.1471,284400,32,1044,219,567,222,-118.41,33.96,<1H OCEAN
house 16663,2.2847,247000,26,4225,886,1795,704,-120.69,35.28,NEAR OCEAN
house 4071,10.3599,500001,31,9320,1143,2980,1109,-118.48,34.14,<1H OCEAN
house 7129,3.2622,208600,33,4853,1105,2855,1006,-118.09,34.02,<1H OCEAN
house 4430,1.8173,154200,31,394,117,573,131,-118.22,34.08,<1H OCEAN
house 2245,4.3315,95800,17,1560,261,709,258,-119.8,36.83,INLAND
house 17483,4.6806,288900,23,3172,588,1467,559,-119.81,34.44,NEAR OCEAN
house 8210,1.9318,115900,30,1349,519,2646,552,-118.17,33.79,NEAR OCEAN
house 14309,1.825,81500,37,1220,325,1472,323,-117.13,32.71,NEAR OCEAN
house 18064,7.6107,500001,14,2561,404,1172,378,-122.01,37.26,<1H OCEAN
house 5053,1.7945,106300,37,4291,1102,1941,953,-118.34,34.01,<1H OCEAN
house 5853,3.5875,250000,39,1995,564,1202,544,-118.32,34.17,<1H OCEAN
house 18070,10.3979,500001,25,3845,492,1461,475,-122.02,37.29,<1H OCEAN
house 14614,2.2663,123600,44,2262,647,3009,657,-117.17,32.79,NEAR OCEAN
house 1107,2.4537,117900,10,1742,307,721,312,-121.6,39.8,INLAND
house 15749,2.0161,364300,52,2705,647,1355,628,-122.44,37.77,NEAR BAY
house 8767,5.7361,500001,39,2400,373,877,372,-118.38,33.81,NEAR OCEAN
house 20181,4.8472,500001,19,3238,629,1195,443,-119.39,34.32,NEAR OCEAN
house 5237,2.3333,92100,36,1110,,1417,302,-118.23,33.94,<1H OCEAN
house 15419,3.9815,142600,26,2010,347,1160,331,-117.25,33.22,<1H OCEAN
house 14955,4.375,214000,25,4137,662,1905,630,-116.98,32.75,<1H OCEAN
house 5284,4.2554,500001,20,5448,1532,2202,1442,-118.46,34.06,<1H OCEAN
house 18633,6.4214,340600,14,679,108,306,113,-121.93,37.05,<1H OCEAN
house 758,2.6719,161200,28,2280,610,1255,587,-122.07,37.66,NEAR BAY
house 1235,4.4063,155800,13,2962,546,252,103,-120.33,38.26,INLAND
house 15137,4.6674,178000,16,4675,834,2188,817,-116.92,32.84,<1H OCEAN
house 12564,2.9769,92700,43,2084,417,912,410,-121.43,38.54,INLAND
house 2481,2.4398,87500,11,1337,412,1376,318,-120.27,36.29,INLAND
house 9023,5.8788,500001,12,7508,1058,2484,965,-118.84,34.11,NEAR OCEAN
house 13438,2.375,113800,12,3598,828,2588,781,-117.44,34.09,INLAND
house 2393,4.1838,85600,44,3042,697,335,115,-119.21,37.25,INLAND
house 5972,3.5192,190500,26,1664,344,1024,339,-117.79,34.1,INLAND
house 2957,2.3125,65800,38,1463,294,692,295,-119.02,35.34,INLAND
house 11182,4.9394,217800,31,2421,389,1348,413,-117.95,33.83,<1H OCEAN
house 8857,4.2386,500001,33,5301,1281,2243,1159,-118.39,34.07,<1H OCEAN
house 876,4.6978,240300,24,8444,1492,4446,1491,-122.03,37.56,NEAR BAY
house 8920,2.0745,332500,35,3057,774,2223,732,-118.47,34.02,<1H OCEAN
house 16712,3.5682,277300,10,10463,1756,4660,1715,-120.5,35.03,<1H OCEAN
house 1159,4.5156,91200,35,1806,293,683,295,-121.53,39.53,INLAND
house 7720,3.8427,283500,35,2670,493,1196,488,-118.11,33.93,<1H OCEAN
house 10019,5.2359,213300,9,2802,447,955,418,-121.2,39.23,INLAND
house 6118,3.3322,151400,35,957,194,804,221,-117.9,34.12,<1H OCEAN
house 4959,2.3942,123200,42,814,223,511,188,-118.29,34.01,<1H OCEAN
house 15097,2.9097,152500,8,2378,638,1410,623,-116.96,32.81,<1H OCEAN
house 11438,7.8453,343300,21,2030,318,910,311,-117.96,33.65,<1H OCEAN
house 12271,2.5357,94400,33,1575,326,879,282,-117.06,34,INLAND
house 16837,4.0795,270600,33,3507,669,1697,660,-122.49,37.6,NEAR OCEAN
house 18650,2.625,377300,16,875,201,300,157,-121.99,36.96,NEAR OCEAN
house 14729,3.65,168900,29,1232,243,665,247,-117.02,32.8,<1H OCEAN
house 2076,1.575,57100,34,1186,300,774,271,-119.84,36.75,INLAND
house 13763,2.5156,103000,24,6260,1271,3132,1189,-117.09,34.07,INLAND
house 2645,2.6987,92500,25,1899,357,891,355,-124.14,40.58,<1H OCEAN
house 10767,3.2125,455000,26,1632,376,598,375,-117.9,33.63,<1H OCEAN
house 8618,7.521,340400,19,3303,584,1329,569,-118.39,33.87,<1H OCEAN
house 1908,3.7891,117700,16,2708,481,712,261,-120.04,38.86,INLAND
house 1948,4,167400,13,2692,470,1302,420,-120.87,38.71,INLAND
house 20044,2.9815,73000,20,1042,183,509,175,-119,36.07,INLAND
house 11397,7.2845,301800,19,4154,560,2130,589,-117.97,33.73,<1H OCEAN
house 13472,3.6875,112600,11,5684,1139,3095,1036,-117.38,34.08,INLAND
house 19628,2.2566,82100,42,2905,561,1457,551,-121.03,37.32,INLAND
house 13842,2.6125,79900,26,2299,496,1259,441,-117.31,34.53,INLAND
house 1777,3.125,143900,42,2206,451,989,444,-122.34,37.94,NEAR BAY
house 2012,2.4137,62100,21,1702,358,1347,316,-119.83,36.73,INLAND
house 19070,4.2237,262300,25,5024,881,1994,838,-122.45,38.27,NEAR BAY
house 6123,2.9459,144400,32,2552,576,2161,548,-117.92,34.12,<1H OCEAN
house 15070,2.9784,136400,35,1113,236,681,246,-116.97,32.78,<1H OCEAN
house 6490,3.8085,181400,27,2424,542,1713,557,-118.01,34.1,INLAND
house 11476,5.3886,331900,23,5554,995,2408,936,-118.02,33.71,<1H OCEAN
house 4844,2.135,119600,27,1084,287,1085,279,-118.29,34.03,<1H OCEAN
house 10929,3.425,159500,28,1346,291,1575,278,-117.9,33.75,<1H OCEAN
house 8858,5.7762,500001,45,3143,553,1153,564,-118.39,34.07,<1H OCEAN
house 2474,1.7176,58400,34,1175,251,683,261,-119.86,36.43,INLAND
house 17517,5.4273,421000,44,2142,358,846,375,-121.93,37.33,<1H OCEAN
house 2219,5.3241,123000,14,2982,412,1408,423,-119.82,36.83,INLAND
house 14015,2.7222,284700,36,2282,534,918,531,-117.18,32.75,NEAR OCEAN
house 7309,2.4596,154700,35,1172,436,1741,408,-118.19,33.99,<1H OCEAN
house 17747,2.5052,133700,23,1801,415,548,393,-121.75,37.3,<1H OCEAN
house 9527,1.7813,94700,33,1320,303,1048,303,-123.16,39.13,<1H OCEAN
house 12039,2.2241,127300,21,3491,760,1920,669,-117.47,33.91,INLAND
house 11925,4.125,120700,35,1599,284,721,287,-117.39,33.95,INLAND
house 16489,3.7687,165200,27,2400,435,1085,444,-121.19,38.13,INLAND
house 8706,5.269,331900,36,1407,231,676,231,-118.34,33.84,<1H OCEAN
house 14249,2.2024,137200,5,1615,387,1094,394,-117.1,32.72,NEAR OCEAN
house 3701,4.1445,176400,11,2921,685,1512,664,-118.36,34.19,<1H OCEAN
house 10295,4.2566,206100,16,5954,1281,3107,1209,-117.8,33.87,<1H OCEAN
house 17224,4.7,293800,43,1781,342,663,358,-119.72,34.44,<1H OCEAN
house 3540,4.6625,290900,11,7849,1664,3561,1500,-118.52,34.25,<1H OCEAN
house 6354,3.038,137500,33,1943,440,1526,353,-117.95,34.14,INLAND
house 14751,3.0284,123600,25,1268,282,991,299,-117.06,32.57,NEAR OCEAN
house 18660,3.0905,264300,21,3520,831,1486,753,-121.94,36.98,NEAR OCEAN
house 12828,4.0625,96200,10,2562,460,1478,433,-121.42,38.7,INLAND
house 13618,3.0721,83800,40,1298,254,793,268,-117.27,34.13,INLAND
house 12809,2.1889,69300,29,2197,520,1374,483,-121.47,38.63,INLAND
house 4155,2.5211,162900,46,3659,1068,4153,993,-118.2,34.11,<1H OCEAN
house 12911,3.0348,150500,20,7003,1409,3107,1315,-121.32,38.63,INLAND
house 15422,4.21,175600,11,1472,261,1012,285,-117.28,33.2,NEAR OCEAN
house 10233,1.7935,162500,29,1221,371,1822,326,-117.93,33.87,<1H OCEAN
house 10105,3.2158,215000,18,3744,1027,1654,912,-117.96,33.92,<1H OCEAN
house 12785,3.8295,122200,28,1219,240,559,212,-121.44,38.65,INLAND
house 13515,3.3516,105600,26,1008,164,568,196,-117.34,34.12,INLAND
house 6760,4.0556,282600,49,2057,430,1103,414,-118.12,34.1,<1H OCEAN
house 5981,2.6779,136000,26,2723,604,1847,498,-117.74,34.1,INLAND
house 2999,3.3529,82600,14,2927,588,1821,561,-119.02,35.32,INLAND
house 11102,5.9397,249400,26,2435,346,1088,350,-117.87,33.82,<1H OCEAN
house 15085,3.369,134400,25,3421,803,1681,742,-116.96,32.8,<1H OCEAN
house 15643,3.3643,420000,52,1777,486,932,427,-122.42,37.8,NEAR BAY
house 19807,0.8362,87500,17,449,151,141,53,-123.41,40.07,INLAND
house 11301,3.522,190300,28,3614,960,3282,889,-117.92,33.77,<1H OCEAN
house 14476,6.5382,326000,24,3596,494,1573,492,-117.21,32.86,NEAR OCEAN
house 8249,1.8036,175000,42,1021,300,533,187,-118.19,33.78,NEAR OCEAN
house 20313,1.6964,175000,28,1444,508,2145,437,-119.17,34.19,NEAR OCEAN
house 19622,2.5,74200,42,412,75,227,75,-121.11,37.43,INLAND
house 13520,4.4367,133200,5,9269,1605,4916,1519,-117.35,34.2,INLAND
house 1017,6.3705,350000,6,3023,518,1225,468,-121.76,37.67,INLAND
house 18923,6.4599,219700,15,2125,278,857,272,-122.17,38.07,NEAR BAY
house 1667,5.6293,197600,15,3338,532,1834,520,-122.25,38.03,NEAR BAY
house 9356,9.5551,500001,29,377,58,151,67,-122.64,37.96,NEAR OCEAN
house 2638,4.025,128100,27,1148,206,521,219,-124.14,40.6,NEAR OCEAN
house 18173,4.9671,335200,24,1709,437,892,408,-122.02,37.36,<1H OCEAN
house 18254,2.7279,365600,34,1508,483,774,443,-122.09,37.39,NEAR BAY
house 12111,2.725,95300,23,3707,769,1938,658,-117.35,34.01,INLAND
house 20436,5.4024,253000,47,1315,290,581,268,-118.64,34.25,<1H OCEAN
house 11111,3.2303,201300,13,1583,474,1672,432,-117.89,33.85,<1H OCEAN
house 19554,1.0801,75000,28,1153,420,1043,357,-121,37.62,INLAND
house 10271,4.6563,162400,7,2663,642,1367,677,-117.87,33.87,<1H OCEAN
house 10746,11.216,500001,36,3082,455,771,365,-117.91,33.61,<1H OCEAN
house 16964,4.75,388200,46,2444,397,952,402,-122.31,37.54,NEAR OCEAN
house 17511,3.0139,204200,35,357,120,377,99,-121.92,37.34,<1H OCEAN
house 2218,6.9903,141200,14,2351,341,1128,363,-119.83,36.83,INLAND
house 18195,3.2574,254400,32,1889,487,1321,508,-122.02,37.38,<1H OCEAN
house 10184,3.3516,190000,32,2366,505,1283,477,-117.96,33.86,<1H OCEAN
house 19304,4.5132,259900,27,2565,479,1227,467,-122.82,38.38,<1H OCEAN
house 17922,4.375,212200,25,1527,325,707,339,-121.99,37.35,<1H OCEAN
house 3820,2.4375,255400,12,3831,1083,2258,967,-118.48,34.2,<1H OCEAN
house 18127,5.1602,231200,16,1755,410,674,410,-122.03,37.34,<1H OCEAN
house 3753,2.8208,238500,33,1588,454,739,392,-118.38,34.17,<1H OCEAN
house 14361,2.4016,287500,41,2621,542,1074,471,-117.22,32.74,NEAR OCEAN
house 16101,3.0465,274200,43,2527,619,1332,558,-122.51,37.76,NEAR OCEAN
house 15636,0.8836,450000,30,1821,738,1648,684,-122.41,37.8,NEAR BAY
house 7354,2.4821,150000,33,1201,340,1482,334,-118.15,33.96,<1H OCEAN
house 527,3.0161,215700,52,2650,566,1468,567,-122.25,37.77,NEAR BAY
house 7806,3.6875,171500,42,1150,215,708,204,-118.09,33.89,<1H OCEAN
house 4508,2.7708,127900,43,977,266,1084,259,-118.19,34.05,<1H OCEAN
house 14809,3.2121,320800,37,3112,716,1304,674,-117.18,32.69,NEAR OCEAN
house 9570,4.25,146300,18,5009,826,2497,805,-120.61,37.32,INLAND
house 14876,2.1281,139800,33,2891,793,1607,754,-117.08,32.63,NEAR OCEAN
house 17453,4.4595,152700,24,2387,385,1051,382,-120.47,34.7,NEAR OCEAN
house 11770,3.141,220100,21,2253,416,1050,411,-121.36,38.73,INLAND
house 12129,4.0473,127200,9,11654,2100,7596,2127,-117.23,33.91,INLAND
house 16600,2.2165,90600,15,1914,425,1130,421,-120.7,35.76,<1H OCEAN
house 18785,2.0899,74800,21,2333,514,1308,509,-122.36,40.48,INLAND
house 1202,2.0474,56000,37,2330,495,1505,470,-121.7,39.36,INLAND
house 15567,6.1868,320200,13,5516,746,2119,662,-117.05,33.1,<1H OCEAN
house 10360,7.5196,315600,16,3016,394,1172,382,-117.66,33.58,<1H OCEAN
house 20202,4.9079,234100,26,2406,411,1313,391,-119.21,34.26,NEAR OCEAN
house 17912,5.7059,287200,33,1582,272,809,267,-121.98,37.36,<1H OCEAN
house 11259,2.8042,206300,26,4022,1081,2457,1001,-117.97,33.81,<1H OCEAN
house 11112,3.5329,187400,31,2043,468,1524,454,-117.9,33.84,<1H OCEAN
house 18712,2.6792,138900,24,5045,972,2220,979,-122.42,40.59,INLAND
house 3263,2.575,73600,45,1314,277,649,232,-122.9,39.17,INLAND
house 19404,4.3864,179500,18,391,71,247,71,-120.93,37.72,INLAND
house 10043,2.535,117100,43,1264,273,611,260,-121.05,39.21,INLAND
house 19279,2.5735,131100,31,2020,476,1408,437,-122.72,38.43,<1H OCEAN
house 12164,2.625,155400,11,4934,929,2508,840,-117.16,33.76,INLAND
house 11172,5.5486,218100,34,1290,220,867,241,-117.98,33.82,<1H OCEAN
house 17810,6.9584,351600,16,1767,268,1061,280,-121.87,37.4,<1H OCEAN
house 9979,3.6641,275800,32,1735,331,785,309,-122.46,38.53,INLAND
house 1938,3.225,163300,9,2073,404,916,373,-120.98,38.66,INLAND
house 14742,3.8529,147700,17,2724,567,2213,554,-117.06,32.58,NEAR OCEAN
house 20141,5.3582,281300,35,462,90,334,96,-119.04,34.34,<1H OCEAN
house 8718,3.703,361300,22,11016,3170,6664,2838,-118.36,33.84,<1H OCEAN
house 10542,4.89,454100,9,6564,1316,1720,904,-117.74,33.46,<1H OCEAN
house 11850,2.5893,83000,8,1116,214,27,39,-121,39.75,INLAND
house 4515,2.07,136300,52,1249,307,1223,297,-118.2,34.04,<1H OCEAN
house 8835,3.1517,341700,22,4247,1253,1766,1170,-118.37,34.09,<1H OCEAN
house 3366,3.4028,91000,17,3391,623,1529,571,-120.54,40.29,INLAND
house 11559,3.1902,202400,29,1312,267,922,255,-117.99,33.77,<1H OCEAN
house 3253,2.9708,60900,27,2533,518,1371,461,-120.14,36.04,INLAND
house 3515,4.6591,239900,27,2722,468,1164,419,-118.49,34.26,<1H OCEAN
house 14274,1.043,90100,36,1469,400,1271,340,-117.13,32.69,NEAR OCEAN
house 10032,2.7813,109200,35,2637,511,1181,480,-121.09,39.23,INLAND
house 11173,6.213,230800,32,1133,166,523,187,-117.98,33.83,<1H OCEAN
house 3010,2.35,91700,40,282,59,213,71,-118.99,35.24,INLAND
house 15771,6.8939,455900,38,2202,452,833,435,-122.44,37.76,NEAR BAY
house 11263,3.1801,190500,29,2470,560,1589,513,-117.99,33.79,<1H OCEAN
house 17191,5.1002,319400,30,2762,593,1581,502,-122.27,37.24,NEAR OCEAN
house 17935,3.6118,235500,48,1246,294,697,284,-121.95,37.35,<1H OCEAN
house 7581,2.25,126600,36,873,240,1086,217,-118.22,33.89,<1H OCEAN
house 12280,1.4063,81900,22,1999,497,1304,479,-116.96,33.94,INLAND
house 20560,4.7222,167200,30,2602,401,981,405,-121.79,38.67,INLAND
house 19505,3.0645,106000,20,2973,620,1996,570,-121.02,37.65,INLAND
house 16106,3.4919,271800,44,1819,,1137,354,-122.5,37.75,NEAR OCEAN
house 3359,2.2992,70200,52,2081,478,1051,419,-120.66,40.41,INLAND
house 9813,4.0154,225700,33,3455,683,1704,663,-121.93,36.6,NEAR OCEAN
house 14446,2.3284,290600,30,1328,346,577,328,-117.26,32.81,NEAR OCEAN
house 19978,2.3937,82100,20,4642,1300,658,247,-118.7,35.82,INLAND
house 2171,3.7821,80400,5,3821,705,2179,694,-119.89,36.79,INLAND
house 796,3.142,179500,23,1897,440,1109,418,-122.08,37.64,NEAR BAY
house 13477,4.3958,130700,10,5736,945,3528,932,-117.39,34.09,INLAND
house 12057,1.6875,113500,42,765,171,590,177,-117.58,33.87,INLAND
house 5496,5.8083,321800,10,1526,339,705,268,-118.4,34,<1H OCEAN
house 9350,4.6944,398900,52,1833,324,735,306,-122.56,37.97,NEAR BAY
house 19567,1.9444,93400,23,3497,887,2467,816,-120.96,37.61,INLAND
house 17819,3.7622,150000,16,2998,603,1606,615,-121.9,37.4,<1H OCEAN
house 19220,3.0568,190300,19,1848,428,1130,433,-122.67,38.47,<1H OCEAN
house 15372,2.8393,173200,18,3339,704,1727,652,-117.23,33.38,<1H OCEAN
house 7544,1.9583,102300,41,941,233,973,253,-118.21,33.9,<1H OCEAN
house 18679,4.9517,307900,29,4921,967,2319,823,-121.84,36.94,NEAR OCEAN
house 16731,3.0602,69800,29,1649,342,671,264,-119.93,35.2,INLAND
house 19095,4.725,204500,16,1410,209,741,229,-122.6,38.24,<1H OCEAN
house 15715,3.1576,333300,45,2747,699,1320,693,-122.45,37.78,NEAR BAY
house 4325,4.5833,333900,52,1710,350,727,355,-118.35,34.08,<1H OCEAN
house 11788,3.7904,173200,15,2615,485,1063,428,-121.24,38.79,INLAND
house 9753,6.1551,291800,11,5892,837,2327,812,-121.67,36.58,<1H OCEAN
house 13564,3.8125,97400,38,1981,343,796,344,-117.28,34.15,INLAND
house 4173,2.712,143800,38,1051,249,799,229,-118.23,34.1,<1H OCEAN
house 6249,2.8333,155700,34,2050,495,1832,465,-117.97,34.05,<1H OCEAN
house 628,3.3906,178900,35,2562,554,1398,525,-122.18,37.7,NEAR BAY
house 14276,0.8991,78900,42,1210,292,945,258,-117.13,32.7,NEAR OCEAN
house 14592,2.7401,198100,24,1623,417,911,397,-117.17,32.82,NEAR OCEAN
house 3384,4.4375,195800,39,699,150,358,143,-118.27,34.25,<1H OCEAN
house 19681,1.8849,73500,27,2991,637,1419,606,-121.63,39.15,INLAND
house 1337,5.5676,174200,16,3787,515,1606,507,-121.88,37.99,INLAND
house 6517,2.9334,182600,22,6311,1572,6666,1456,-118.01,34.07,INLAND
house 11995,3.1859,153100,26,2925,575,1921,501,-117.6,33.94,INLAND
house 14727,3.7159,168900,20,2705,545,1198,497,-117.01,32.8,<1H OCEAN
house 335,2.1587,86500,43,1473,371,1231,341,-122.17,37.73,NEAR BAY
house 13498,1.6993,67800,28,1473,333,1196,312,-117.33,34.15,INLAND
house 10410,6.0722,260800,4,1318,218,673,225,-117.59,33.66,<1H OCEAN
house 2783,1.2049,44000,17,1388,386,775,320,-114.66,32.74,INLAND
house 15391,8.2531,419200,17,2073,313,573,221,-117,33.29,<1H OCEAN
house 19509,3.4125,125000,37,1043,196,555,197,-121.05,37.62,INLAND
house 10555,5.8399,220600,16,1565,274,950,280,-117.71,33.63,<1H OCEAN
house 11814,4.5129,196300,16,2544,431,1199,412,-121.19,38.95,INLAND
house 3562,8.7471,419900,20,4679,609,1945,609,-118.57,34.25,<1H OCEAN
house 16799,4.7639,265600,36,1447,276,799,275,-122.44,37.66,NEAR OCEAN
house 11250,3.975,162500,18,383,94,487,98,-117.99,33.8,<1H OCEAN
house 20432,6.2893,282700,16,1466,196,661,209,-118.8,34.21,<1H OCEAN
house 19538,1.3696,275000,23,505,124,163,129,-120.92,37.65,INLAND
house 16545,2.2254,130800,11,2451,665,1155,533,-121.23,37.8,INLAND
house 391,2.8036,211600,46,1520,402,815,375,-122.3,37.89,NEAR BAY
house 4235,6.9391,500001,52,1954,245,645,237,-118.3,34.11,<1H OCEAN
house 17285,5.5959,346200,30,2365,417,1053,409,-119.74,34.41,NEAR OCEAN
house 13849,3.9792,122100,3,16533,2549,7588,2285,-117.36,34.48,INLAND
house 17645,6.8088,283300,20,4447,661,2062,660,-121.9,37.26,<1H OCEAN
house 11952,4.1776,118700,32,1814,320,903,306,-117.44,33.94,INLAND
house 16239,4.175,98300,47,2373,461,990,444,-121.3,37.98,INLAND
house 10353,6.2403,257400,13,5830,921,2897,891,-117.68,33.63,<1H OCEAN
house 8941,2.5417,418200,41,752,201,482,207,-118.47,34.01,<1H OCEAN
house 15856,5.0782,310800,52,1029,205,461,212,-122.43,37.73,NEAR BAY
